title,description,url
"Изработка на професионален дизайн, който продава (1)","Когато говорим за електронна търговия, външния вид на вашия магазин е от изключително значение за успешното развитие на бизнеса ви. Дизайнът е обвивката, “лъскавият станиол” или луксозната кутия на вашите продукти. Изборът на подходящ дизайн според спецификите на линията продукти, които предлагате ще ви даде преднина пред конкурентите и ще накара потребителите да прекарват повече време на сайта ви, като вероятността да направят покупка е значително по-голяма.    В тази статия ще намерите:  Какво очакваме от вас: Срокът за изпълнение на услугата  Заяви услугата  Като ваш партньор в изграждането на новия ви електронен магазин и подобряване на развитието на онлайн бизнеса ви, CloudCart  ви предлага услугата ""Изработка на професионален дизайн"". В следващите редове ще ви обясним по-конкретно какво очакваме от вас, преди ние да извършим услугата и какво точно представлява тя. Какво очакваме от вас: Стъпка 1 за клиента: Трябва да си създадете продуктов каталог в магазина, като имате следните опции: Опция #1 -  ръчно създаване на Категориите (вижте помощна статия) и Продуктите (Вижте помощна статия) в магазина си; Опция #2 - автоматичен импорт със CSV file или XML feed / file; Опция #3 - синхронизиране на база данни от складови програми или ERP-та (платформата ни е интегрирана с над 12 от най-популярните в България); Опция #4 - ако имате стар сайт, може да се свържете с нас за допълнителната ни услуга ""Миграция и 301 препратки"";   Стъпка 2 за клиента : Трябва да попълните нашия >>>Въпросник за дизайн<<<, който ще получите след закупуване на услугата.     В него очакваме да отговорите възможно най-изчерпателно на нашите въпроси, тъй като дизайнерите ни ще работят на базата на отговорите ви в него. В този ред на мисли, ако прецените, че ще ви е по-удобно, можете да ни изпратите и отделен документ (със снимки или подробно обяснение).  Ако пък нямате конкретни изисквания относно дизайна и бихте желали да се доверите на професионализма и опита на нашите дизайнери, то това е напълно възможно, но все пак ще ви помолим да го споделите с нас във въпросника.    Стъпка 3 за клиента: Трябва да качите вашите материали в нашата Google Drive папка. Екипът ни ще ви изпрати споделена папка в Google Drive, където бихме искали да ни споделите целия материал, който искате да присъства в магазина ви, а именно:   ✔  лого във векторен формат - ако нямате и желаете да ви го изработим (доплаща се), моля да се свържете с нас; ✔ снимки и текст за  банери, с които да представим бизнеса ви; ✔ текстове за начална страница, ако искате да има; ✔ текстове за статични страници с условия за пазаруване: плащане и доставка, връщане и замяна, за нас и други; ✔  видеа, сертификати, интрукции, файлове и схеми, отзиви от клиенти и други;   Тук искаме да подчертаем, че нашата практика е да стартираме процеса по дизайн след като получим всички нужни материали. Разбираме, че събирането им може да отнеме време, но смятаме, че чакането си заслужава. Тъй като опита ни показва, че когато разполагаме с всички материали, процесът по дизайн минава най-гладко и клиента остава най-доволен от резултата.   Стъпка 4 за клиента: Готовност за работа След като изпълните стъпка 1, 2 и 3, молим да пишете на своя key account, за да го уведомите, че можем да преминем към процеса по дизайн. Разбира се, ако преди това имате някакви въпроси, не се колебайте да се свържете с нас. С удоволствие, ще  съдействаме! Минималната необходима информация за стартиране на вашия проект - попълнен въпросник, качени продукти и лого за целите на дизайна трябва да бъдат предоставени от вас в срок до 6 месеца от заплащане на услугата. След изтичане на този срок CloudCart счита проекта за неизпълним, екипът няма отговорност към запазване на файлове, както и комуникация, която е водена до момента. Стойността на услугата не се възстановява или приспада от други услуги, абонаменти и апликации. *При заплатена услуга за миграция на продукти от друга платформа и изпълнени условия за достъп от страна на клиента, продуктите остават отговорност на CloudCart. За тази услуга действат различни условия и срокове, като периода за изпълнение от страна на изпълнителя (CloudCart) не се счита за неактивност от страна на клиента.   Стъпка 5: Процес по дизайн  Преди всичко искаме да поясним, че магазините на нашата платформа се изготвят (персонализират) върху готов темплейт с предефинираните функционалности, които не могат да се променят от нашите дизайнери.   Това са:  Структура/подредба на хедър (не могат да се разместват елементите по него, както и да се сменя дизайна на иконите) Структура/подредба на футър (не могат да се разместват елементите по него, да става на повече колони, както и да се сменя дизайна на иконите) В категорийна страница/листинг не е възможно да се променя структурата т.е позицията на филтрите и да се разместват елементите В детайлна страница на продукт не е възможно да се променя структурата, подредбата, иконите и останалите елементи в страницата В Контакти не е е възможно да се разместват елементите в нея (контактна форма, карта). Контактната форма няма как да се изнесе в друга страница. Тя може да работи единствено в страница контакти.   Всички тези неща могат да бъдат променяни единствено с намесата на нашите програмисти и извършването на допълнителни доработки, които се заплаща допълнително. В услугата дизайн върху готов темплейт, която извършват нашите дизайнери, също НЕ влизат :  Остиляването на други целеви/лендинг страници, освен на началната. Изработката на целеви страници се уточнява и заплаща допълнително. Обработка и ретуш на продуктови снимки Създаване на текстове Качване на продукти Дизайн и остиляване на текста на продуктовите страници Качване на лога/марки в страницата Производители Създаване на таблици с размери (size chart) Създаване на разновидности и характеристики за вашите продукти Дизайн на мейл шаблони Създаване и остиляване на статии в блога    Нашият екип от дизайнери използва няколко по-основни темплейта и ще избере правилния за вас, така че да отговаря на вашите бизнес нужди.",https://help.cloudcart.com/bg/support/solutions/articles/77000479311
"Изработка на професионален дизайн, който продава (2)","С услугата ""Изработка на професионален дизайн"", екипът на CloudCart ще създаде красив, добре структуриран и продаващ дизайн за вашия онлайн магазин, като:   ✔ Ще сменим стандартните цветове и шрифтове на избраната тема, с подходящи такива; ✔ Ще създадем нужните визуалните елементи и икони за магазина; ✔ Ще използваме структура (фуния) в магазина, която да подтиква потребителя да купи; ✔ Изработка на банери за главни категории на началната страница; ✔ Изработка до 3 броя банери за слайдер (с предоставени текстове и изображения с висока резолюция от вас); ✔ Създаване на основните статични страници в магазина (като За Нас и Контакти), с подадени от вас предварителни текстове; ✔ Създаване на навигационна структура (до 30 линка) в магазина за по-лесна ориентация на клиента;   Работните файлове за слайдери и банери не се предоставят при изработка на дизайн, както и допълнителна адаптация от дизайнер.   Всякакви други желания, които не фигурират в горепосочените точки, ще изискват намесата на нашите програмисти и извършването на допълнителни css/js доработки. Те се остойностяват и заплащат според заданието и отделно от услугата ""Изработка на професионален дизайн"". Срокът за изпълнение на услугата  След като ни потвърдите, че имате база данни, отговори на въпросника за дизайн и качени материали, нашите дизайнери ще извършат услугата в срок от 14 дни (10 работни дни).    Държим да предупредим, че в случай на форсмажорни обстоятелства, срокът на изпълнение може да се удължи до 5 работни дни. Извършване на корекции  До 7 работни дни след като ви предадем дизайна, можете да ни потвърдите дали съвпада с очакванията ви, или да ни опишете еднократно всички корекции (в рамките на един имейл), с които да подобрим изпълнението. Клиента има право на 1 брой корекции върху дизайна.  Допълнително подадени корекции и извън посочения срок, се заплащат според заданието. Заяви услугата   За да заявите услугата ""Изработка на професионален дизайн"" натиснете бутона по-долу:   Поръчай",https://help.cloudcart.com/bg/support/solutions/articles/77000479311
Персонализиране на дизайн върху готов шаблон,"Като ваш партньор в изграждането на новия ви електронен магазин и подобряване развитието на онлайн бизнеса ви, CloudCart  ви предлага ""Персонализиране на дизайн върху готов шаблон"". Услугата е сред предпочитаните от нашите клиенти, тъй като включва допълнителна доработка върху дизайна и структурата на избраната тема, според вашите желания и критерии. Така, магазинът ви ще се отличава с персонализиран и уникален дизайн, който да даде ясна визия на потребителите за вашия бранд и бизнес . В следващите редове ще ви обясним по-конкретно какво очакваме от вас, преди ние да извършим услугата и какво точно представлява тя.  Какво очакваме от вас? Стъпка 1 за клиента: Трябва да си създадете продуктов каталог в магазина, като имате следните опции: Опция #1 -  ръчно създаване на Категориите (вижте помощна статия) и Продуктите (Вижте помощна статия) в магазина си; Опция #2 - автоматичен импорт със CSV file или XML feed / file; Опция #3 - синхронизиране на база данни от складови програми или ERP-та (платформата ни е интегрирана с над 12 от най-популярните в България); Опция #4 - ако имате стар сайт, може да се свържете с нас за допълнителната ни услуга ""Миграция и 301 препратки"";   Стъпка 2 за клиента : Трябва да попълните нашия Въпросник за дизайн , който ще получите след закупуване на услугата.     В него очакваме да отговорите възможно най-изчерпателно на нашите въпроси, тъй като дизайнерите ни ще работят на базата на отговорите ви в него. В този ред на мисли, ако прецените, че ще ви е по-удобно, можете да ни изпратите и отделен документ (със снимки или подробно обяснение).    Стъпка 3 за клиента: Трябва да качите вашите материали в нашата Google Drive папка. Екипът ни ще ви изпрати споделена папка в Google Drive, където бихме искали да ни споделите целия материал, който искате да присъства в магазина ви, а именно:   ✔  лого във векторен формат - ако нямате и желаете да ви го изработим (доплаща се), моля да се свържете с нас; ✔ снимки и текст за  банери, с които да представим бизнеса ви; ✔ текстове за начална страница, ако искате да има; ✔ текстове за статични страници с условия за пазаруване: плащане и доставка, връщане и замяна, за нас и други; ✔  видеа, сертификати, интрукции, файлове и схеми, отзиви от клиенти и други;   Тук искаме да подчертаем, че нашата практика е да стартираме процеса по дизайн след като получим всички необходими материали. Разбираме, че събирането им може да отнеме време, но смятаме, че чакането си заслужава. Тъй като опита ни показва, че когато разполагаме с всички материали, процесът по дизайн минава най-гладко и клиента остава най-доволен от резултата.   Стъпка 4 за клиента: Готовност за работа След като изпълните стъпка 1, 2 и 3, молим да пишете на своя Key Account, за да го уведомите, че можем да преминем към процеса по дизайн. Разбира се, ако преди това имате някакви въпроси, не се колебайте да се свържете с нас. С удоволствие, ще  съдействаме! Минималната необходима информация за стартиране на вашия проект - попълнен въпросник, качени продукти и лого за целите на дизайна трябва да бъдат предоставени от вас в срок до 6 месеца от заплащане на услугата. След изтичане на този срок CloudCart счита проекта за неизпълним, екипът няма отговорност към запазване на файлове, както и комуникация, която е водена до момента. Стойността на услугата не се възстановява или приспада от други услуги, абонаменти и апликации. *При заплатена услуга за миграция на продукти от друга платформа и изпълнени условия за достъп от страна на клиента, продуктите остават отговорност на CloudCart. За тази услуга действат различни условия и срокове, като периода за изпълнение от страна на изпълнителя (CloudCart) не се счита за неактивност от страна на клиента.   Стъпка 5: Процес по дизайн  Преди всичко искаме да поясним, че в услугата, която извършват нашите дизайнери, НЕ влизат :  Остиляването на други целеви/лендинг страници, освен на началната. Изработката на целеви страници се уточнява и заплаща допълнително. Обработка и ретуш на продуктови снимки Създаване на текстове Качване на продукти Дизайн и остиляване на текста на продуктовите страници Качване на лога/марки в страницата Производители Създаване на таблици с размери (size chart) Създаване на разновидности и характеристики за вашите продукти Дизайн на мейл шаблони Създаване и остиляване на статии в блога  Нашият екип от дизайнери използва няколко по-основни темплейта и ще избере правилния за вас, така че да отговаря на бизнес нуждите ви. С услугата Персонализиране на дизайн върху готов шаблон , екипът на CloudCart ще създаде красив, добре структуриран и продаващ дизайн за вашия онлайн магазин, като:   ✔ Ще сменим стандартните цветове и шрифтове на избраната тема, с подходящи такива и в съответствие с вашите желания; ✔ Ще създадем нужните визуалните елементи и икони за магазина; ✔ Ще използваме структура (фуния) в магазина, която да подтиква потребителя да купи; ✔ Изработка на банери за главни категории на началната страница; ✔ Изработка до 3 броя банери за слайдер (с предоставени текстове и изображения с висока резолюция от вас); ✔ Създаване на основните статични страници в магазина (като За Нас и Контакти), с подадени от вас предварителни текстове; ✔ Създаване на навигационна структура (до 30 линка) в магазина за по-лесна ориентация на клиента;   Също така нашите програмисти ще извършат допълнителна доработка върху дизайна и структурата на избраната тема с цел да се доближи максимално до подадените от вас критерии и изисквания. Срок за изпълнение на услугата   След като ни потвърдите, че имате база данни, отговорите на въпросника за дизайн и качени материали, нашите дизайнери ще извършат услугата в срок от 14 дни (10 работни дни).    Държим да предупредим, че в случай на форсмажорни обстоятелства, срокът на изпълнение може да се удължи до 5 работни дни.   Извършване на корекции  До 7 работни дни след като ви предадем дизайна, можете да ни потвърдите дали съвпада с очакванията ви, или да ни опишете еднократно всички корекции (в рамките на един имейл), с които да подобрим изпълнението. Клиента има право на 1 брой корекции върху дизайна.  Допълнително подадени корекции и извън посочения срок, се заплащат според заданието. Заяви услугата   За да заявите услугата ""Персонализиране на дизайн върху готов шаблон"" натиснете бутона по-долу:   Поръчай",https://help.cloudcart.com/bg/support/solutions/articles/77000483611
Допълнителна Езикова Версия на Вашия Магазин,"Ако вече сте създали своя CloudCart магазин, но искате да продавате успешно и на чужди пазари е нужно да имате съответните езикови версии на магазина си. За да улесни своите партньори, CloudCart създаде услугата ""Допълнителна езикова версия на магазин"". Какво представлява тя, и защо е изключително полезна, ако искате да привлечете клиенти от различни краища на света, ще разберете в следващите редове. В тази статия ще намерите:  Какво трябва да направите? Какво включва услугата? Какви са предимствата? Поръчай услугата  Какво трябва да направите? За да създадете допълнителна езикова версия на магазина си може да се свържете с вашия Sales или Support агент на CloudCart и да го информирате за желанието си. Той ще ви разкаже подробно за услугата и ще ви съдейства по време на целия процес, така че да имате един напълно завършен сайт на желания от вас език.    Също така можете да закупите услугата директно от админ панела на новосъздадения* си магазин, като кликнете върху името на магазина в долния десен ъгъл на екрана, изберете Всички услуги, секция Настройки в магазина > Допълнителна езикова версия. *Важно! За да закупите допълнителна езикова версия, първо е необходимо да си създадете втори магазин. Това може да направите като кликнете върху името на магазина в долния десен ъгъл на екрана, изберете Моите магазини и натиснете бутона Създай нов онлайн магазин. Пример: Ако името на основния магазин е myshop.cloudcart.com, нека името на допълнителната езикова версия е същото с добавено съкращение на езика, на който ще е - myshop-en.cloudcart.com  След като вече сте създали новия си магазин, влезте в админ панела и изберете услугата ""Допълнителна езикова версия"". Какво включва услугата? Екипът на CloudCart ще ви направи точно копие на вашия текущ онлайн магазин, като ще локализира и ще настрои всички системни текстове на желания от вас език в новата регистрация, която сте направили предварително. Абонаментният план за тази езикова версия ще струва 50% от основния ви план.    ВАЖНО: Искаме да ви обърнем внимание, че тази услуга не включва превод и подмяна на текстове и снимки (банери) разположени из целия магазин от екипа на CloudCart, това е ваш персонален ангажимент, който можете да извършите чрез административния си панел на новата езикова версия. Ако искате екипа на CloudCart с помощта на нашите партньори, с които работим да адаптираме целия ви магазин, съдържание като статични страници, банери, други снимки и т.н трябва да информирате Sales или Support агента си, след което ние ще направим анализ на цялото съдържание и ще ви дадем обратна връзка за време на изпълнение и цена на допълнителната услуга. Посочената цена, която виждате в админ панела на магазина си отговаря на абонаментен план Business, ако желаете да получите конкретна цена за вашия онлайн магазин, с различен от този абонаментен план, моля не се колебайте да се свържете с нас. След като сме локализирали новата езикова версия на основния ви сайт ще сложим флагче, откъдето всеки краен потребител ще може да избира желаната езикова версия. *Забележка: Всички платени приложения, които сте инсталирали в основния си магазин следва да бъдат повторно инсталирани и платени в допълнителната езикова версия (GDPR, Let´s Encrypt Manager и др.) Какви са предимствата? Предимствата на тази услуга са наистина много, тъй като ние не просто превеждаме съдържанието на сайта ви, а го локализираме.   Данъци и такси - безпроблемно прилагане на данъците и таксите. Всяка държава има различни данъци и такси, няма да се налага те да бъдат адаптирани по някакъв начин от едната езикова версия на другата, а ще може да ги прилагате коректно спрямо държавата. Фактуриране - фактурите, които издавате ще бъдат на конкретната езикова версия с конкретните реквизити, които са в съответната страна. Разплащателни методи и Доставки - различните разплащателни методи и куриерски компании ще бъдат локализирани. Така, ако продавате в UK например, клиентите ще виждат куриерските компании, които са приложими за тяхната страна като Royal Mail, а не Speedy, Econt, наложен платеж и т.н. Системни съобщения - всички системни съобщения като email известия и др, които клиентите получават от вашия магазин ще бъдат адаптирани. Това е от изключително значение, тъй като, ако тези съобщения не са на съответния език, това означава, че клиент, който направи поръчка например ще получи съобщение на език различен от този, който е избрал и на, който е самия магазин. В различните езикови версии на вашия магазин може да задавате различни цени на продуктите си, може да ги пренареждате по различен начин, така че да отговарят на търсенето на локалния пазар. Custom доработки - всички custom доработки, ако са правени такива в магазина ви, ще бъдат дублирани и поставени в новата езикова версия. Това са само малка част от предимствата на услугата ""Допълнителна езикова версия"". Ако искате да имате работещ магазин на различни езици, не се колебайте да се свържете със своя Sales или Support агент. Ще се радваме да ви помогнем по пътя към успеха! Поръчай услугата Ако искате да създадете допълнителна езикова версия на вашия магазин, може да заявите услугата и от бутона по-долу:   Поръчай",https://help.cloudcart.com/bg/support/solutions/articles/77000481914
Настройка на Виртуален ПОС Терминал,"Когато създавате своя онлайн магазин, една от първите и най-важни стъпки е изборът на удобен за работа разплащателен метод, чрез който да накарате клиентите ви да изберат именно вас и да завършат поръчката си. Често настройката и активацията на такъв терминал затруднява търговците или им отнема ценно време, което могат да използват за други цели. Точно затова, ние ви предлагаме да го направим вместо вас. Ако имате нужда от съдействие за настройването на виртуален ПОС Терминал, независимо какъв тип е той, може да се обърнете към екипа на CloudCart. В тази статия ще намерите:  Какво включва услугата? Какво трябва да направите? Как да заявите услугата? Какво включва услугата? Ние ще се погрижим изцяло за конфигурирането на вашия електронен ПОС терминал, чрез който ще можете да получавате плащания с дебитни/кредитни карти. Няма никакво значение с коя банка работите, ние можем да съдействаме по отношение на конфигурирането с всяка една (важното е да имаме интеграция с нея).    Екипът на CloudCart ще води цялата комуникация с представител на банката, докато вашият ПОС терминал не бъде активиран в онлайн магазина ви. Ние ще ви съдействаме за издаването на необходимите сертификати за активация, тяхното изпращане към банката и връщането им обратно и качването им в магазина ви.    CloudCart ще се погрижи за извършването на всички необходими тестове, така че да се увери, че терминалът работи коректно и плащанията преминават безпроблемно. След което ще активираме желания от вас терминал. Вече ще имате работещ разплащателен метод, чрез който клиентите ви да осъществяват плащания, а вие да получавате парите директно по сметката си. Цялата комуникация с банката е изцяло наша грижа, единственото нещо, което трябва да направите преди да стартираме процеса е да се свържете с избраната от вас банка (такава, с която имаме интеграция) и да сключите договор за издаване на Виртуален ПОС Терминал. В секция Настройки > Плащания в административния ви панел можете да разгледате списъка на всички наши партньори. Какво трябва да направите? За да извършим услугата ще ни е необходимо да ни посочите името на вашата  фирма, името на банката, с която сте сключили договор и лицето за контакт. Нужно е да информирате банката, че ние ще комуникираме с тях от ваше име, докато направим необходимите настройки и ще движим целия процес по активацията на терминала. Как да заявите услугата? За да заявите услугата и нашия екип да настрои желания от вас виртуален ПОС терминал влезте в админ панела си, кликнете върху името на магазина в долния десен ъгъл на екрана, изберете Всички услуги, секция Настройки в магазина > Настройка на виртуален ПОС терминал. Другите варианти са да се свържете с вашия Key акаунт и да го информирате, че желаете ние да направим настройките или още по-лесно, да заявите услугата от бутона по-долу:    Поръчай",https://help.cloudcart.com/bg/support/solutions/articles/77000483118
Миграция на сайт и 301 препратки,"В тази статия ще намерите:  Какво включва услугата? Обновяване на информация Заяви услугата   Ако имате онлайн магазин, независимо на каква платформа е той (SaaS, Open Source или е custom) и искате да мигрирате, екипът на CloudCart ще се погрижи за целия процес по прехвърлянето на информацията от стария ви магазин към новия в CloudCart.  Какво включва услугата? ✔ Анализ на текущия ви онлайн магазин и неговата структура; ✔ Създаване на програмен код, който да извлече нужната информация; ✔ Автоматично качване на категории, подкатегории, марки, разновидности (характеристики - при възможност), цялостна информация за продукта (име, описание, кратко описание цена, SKU, снимки) чрез API; ✔ Качване на клиентската ви база - която сте натрупали в годините, ако старият ви CMS го позволява и ни подадете конкретния файл за качване на желаната от вас информация; ✔ Специален софтуер ще свали всички индексирани от Google линкове, след което ще създаде в новия административен панел 301 препратки на старите линкове към новите, за да нямате страници с грешка 404.    Преди започване на миграция е задължително всички продукти, чиито прехвърляне е планирано, да са публикувани/видими за клиенти на магазина. При обратна връзка, свързана с липсващи артикули, които не са били активни при първноначалната миграция, търговецът ще бъде таксуван повторно. Когато магазинът ви вече е индексиран от Google и вие излизате на челни позиции е много важно при мигриране, преместване на магазина ви от една платформа към друга да се запази това позициониране. За целта, ние правим прецизно сваляне на всички индексирани линкове от текущия ви магазин, след което ги качваме в платформата. Това, което нямаме възможност да направим е да свалим линковете, които са препратки към главните категории и статичните страници. Това нещо се прави ръчно, след като вие като търговец си качите статичните страници. След като ни подадете необходимата информация, ние ще пренасочим всички линкове на статичните ви страници. Имайте предвид, че ако не са качени (от ваша страна) всички статични страници, ние няма как да изпълним цялата задача по правилното пренасочване на линковете! Моля, веднага след заплащане на тази услуга да качите всички страници от стария си магазин в новия. След като заявите услугата, вашият key account ще се свърже с вас за уточняващи въпроси преди да стартираме процеса по прехвърляне на магазина ви. Ще ни е необходим достъп до административния панел на стария ви магазин, както и до FTP-то. Обновяване на информация Ако вие, като търговец, работите с даден дистрибутор и искате да мигрирате, ние можем да вземем цялата информация от магазина на дистрибутора и да я качим в новия ви магазин, като я обновяваме на ежедневна база (наличности, цени) и отразяваме всяка промяна в реално време, дори, ако даденият дистрибутор няма XML, CSV или възможност за интеграция през API. Тази услуга се заплаща допълнитело, в зависимост от броя продукти, които ще се качват, както и структурата на онлайн магазина на дистрибутора. Заяви услугата Може да се обърнете към нашия екип като заявите услугата ""Миграция на сайт от друга платформа и 301 препратки"" от бутона по-долу. Ние ще извършим всички необходими действия по мигрирането на вашия онлайн магазин. Поръчай",https://help.cloudcart.com/bg/support/solutions/articles/77000483483
