title,description,url,
Importance of Unique Titles,Unique titles and descriptions are crucial for ranking at the highest level in search engine results. The search engine decides which listings to place on top of the search results based on meta titles and meta descriptions.,---
Bulk Editing,The tool allows you to manipulate specific categories of products and give them variables to construct whole titles and descriptions. You don't have to go through each product one by one.,---
Using the Tool,"To use the tool, go to Applications or Apps and search for ""SEO spinner."" Install the spinner, which is built by CloudCart, for SEO optimization. You will see three tabs: Products, Categories, and Brands. They all work the same way. In this example, we'll focus on manipulating product data.",---
Variables and Conditions,"You can add variables and conditions to specify which categories you're working with, and the system will generate titles and descriptions accordingly. Be careful not to duplicate categories from one condition to another.",---
Creating Unique Titles,"To create unique titles, you can mix text and variables. You can also use different patterns for different products. To specify different variations for specific categories, add them within the conditions.",---
Creating Unique Descriptions,"The same process applies to descriptions. You can use variables, text, and variations to create unique descriptions. You can also use curly brackets and semicolons to create variations of keywords, phrases, or sentences.",---
Saving and Generating Combinations,"Once you have created your conditions and patterns, save your condition and click ""Override All Data"" to apply these changes to your products. Then, generate all combinations and wait for the system to process them.",---
Preview and Edit,"You can preview the generated combinations and edit specific titles and descriptions if needed. Once you're satisfied with the results, click ""Finalize"" to apply the changes to all your products.",---
Size Chart Application,"To get the size chart feature, we need to go to applications and search for the size chart application built by CloudCart. This application is a paid application. Once it is installed, the merchants will be able to define the size charts before doing so, prepare the landing pages for the size charts. To create the size chart pages, go to marketing landing pages and build the landing pages.",---
Creating Size Charts,"The title of the size chart is only for internal use to orientate for what the chart is for. The second title is visible for the users, so make sure it is a good and readable title. Select the category, and only the products under that category will show that title. If there is a specific vendor, select that as well. Hit save, and the particular page is created.",---
Product Pages,"To see which products have that page, go to the product page and check. If the size chart is visible, then the page is enabled. If the size chart is not visible, then the page is not enabled. The size chart is only applicable for the products that are under the selected category. If there is no category, unfortunately, it cannot be assigned. The size chart page will only be visible on products under that category or category and vendor.",---
Conclusion,Using the size chart application is way more powerful than the previous functionality. It is simple but a better way to present the products with the exact number of sizes based on the category or category and vendor. The whole concept is to define specific size charts on specific categories or vendors based on specific criteria.,---
Example,"Triggered products can be used to send messages to customers who browse products under a specific category. For example, you can send a message with three or four or eight discounted products from that category or a dynamic discount promo code for a specific product. This will encourage customers to make a purchase and improve their shopping experience.",---
Trigger,"The trigger for a campaign is the segment, which is a set of conditions that a visitor or customer must enter or exit to activate the campaign. The conditions for triggered products should relate to the products in your store. The trigger can be purchases, cart, subscribed products, memberships, product reviews, or wish lists.",---
Campaign,"To create a campaign for triggered products, select the appropriate segment and use the triggered product widget to include products related to the segment. You can then build a contextual email with a dynamic discount code to encourage customers to make a purchase.",---
What are Web Hooks?,"Web hooks are a feature in CloudCart that enable events in the store to be sent outside the store to a third-party application. As soon as an event occurs, such as a new order, the web hook will fire an event and transfer information regarding the order, such as customer details, shipping information, or product information, to the third-party application.",---
Benefits of Web Hooks,"The benefits of web hooks are that they fill the gap between software in the e-commerce store and software for inventory management or other third-party applications. Web hooks provide a missing piece of the puzzle in two-way integrations with third-party applications, which ensures that information related to events such as orders, product updates, or customer registration is sent immediately without waiting even for a second.",---
Setting Up Web Hooks,"Web hooks can be set up under the settings menu in the web hooks section. The first step is to select an API key to give web hooks permission to run and fire events based on the key. The second step is to select the destination URL, where the information related to the events will be sent. There is a service called webhooks.site, which allows testing the destination URL and events for webhooks.",---
