title,description,tokens
Importance of Unique Titles,Unique titles and descriptions are crucial for ranking at the highest level in search engine results. The search engine decides which listings to place on top of the search results based on meta titles and meta descriptions.,37
Bulk Editing,The tool allows you to manipulate specific categories of products and give them variables to construct whole titles and descriptions. You don't have to go through each product one by one.,31
Using the Tool,"To use the tool, go to Applications or Apps and search for ""SEO spinner."" Install the spinner, which is built by CloudCart, for SEO optimization. You will see three tabs: Products, Categories, and Brands. They all work the same way. In this example, we'll focus on manipulating product data.",49
Variables and Conditions,"You can add variables and conditions to specify which categories you're working with, and the system will generate titles and descriptions accordingly. Be careful not to duplicate categories from one condition to another.",33
Creating Unique Titles,"To create unique titles, you can mix text and variables. You can also use different patterns for different products. To specify different variations for specific categories, add them within the conditions.",31
Creating Unique Descriptions,"The same process applies to descriptions. You can use variables, text, and variations to create unique descriptions. You can also use curly brackets and semicolons to create variations of keywords, phrases, or sentences.",33
Saving and Generating Combinations,"Once you have created your conditions and patterns, save your condition and click ""Override All Data"" to apply these changes to your products. Then, generate all combinations and wait for the system to process them.",35
Preview and Edit,"You can preview the generated combinations and edit specific titles and descriptions if needed. Once you're satisfied with the results, click ""Finalize"" to apply the changes to all your products.",30
Size Chart Application,"To get the size chart feature, we need to go to applications and search for the size chart application built by CloudCart. This application is a paid application. Once it is installed, the merchants will be able to define the size charts before doing so, prepare the landing pages for the size charts. To create the size chart pages, go to marketing landing pages and build the landing pages.",69
Creating Size Charts,"The title of the size chart is only for internal use to orientate for what the chart is for. The second title is visible for the users, so make sure it is a good and readable title. Select the category, and only the products under that category will show that title. If there is a specific vendor, select that as well. Hit save, and the particular page is created.",69
Product Pages,"To see which products have that page, go to the product page and check. If the size chart is visible, then the page is enabled. If the size chart is not visible, then the page is not enabled. The size chart is only applicable for the products that are under the selected category. If there is no category, unfortunately, it cannot be assigned. The size chart page will only be visible on products under that category or category and vendor.",80
Conclusion,Using the size chart application is way more powerful than the previous functionality. It is simple but a better way to present the products with the exact number of sizes based on the category or category and vendor. The whole concept is to define specific size charts on specific categories or vendors based on specific criteria.,56
Example,"Triggered products can be used to send messages to customers who browse products under a specific category. For example, you can send a message with three or four or eight discounted products from that category or a dynamic discount promo code for a specific product. This will encourage customers to make a purchase and improve their shopping experience.",58
Trigger,"The trigger for a campaign is the segment, which is a set of conditions that a visitor or customer must enter or exit to activate the campaign. The conditions for triggered products should relate to the products in your store. The trigger can be purchases, cart, subscribed products, memberships, product reviews, or wish lists.",54
Campaign,"To create a campaign for triggered products, select the appropriate segment and use the triggered product widget to include products related to the segment. You can then build a contextual email with a dynamic discount code to encourage customers to make a purchase.",43
What are Web Hooks?,"Web hooks are a feature in CloudCart that enable events in the store to be sent outside the store to a third-party application. As soon as an event occurs, such as a new order, the web hook will fire an event and transfer information regarding the order, such as customer details, shipping information, or product information, to the third-party application.",60
Benefits of Web Hooks,"The benefits of web hooks are that they fill the gap between software in the e-commerce store and software for inventory management or other third-party applications. Web hooks provide a missing piece of the puzzle in two-way integrations with third-party applications, which ensures that information related to events such as orders, product updates, or customer registration is sent immediately without waiting even for a second.",65
Setting Up Web Hooks,"Web hooks can be set up under the settings menu in the web hooks section. The first step is to select an API key to give web hooks permission to run and fire events based on the key. The second step is to select the destination URL, where the information related to the events will be sent. There is a service called webhooks.site, which allows testing the destination URL and events for webhooks.",73
Testing Web Hooks,"Web hooks can be tested by editing orders or products and ensuring that the events are immediately fired and transferred to the third-party application. Web hooks can also be tested with services such as webhooks.site, which provide a destination URL for testing.",42
Real-Time Integration Example,"An example of real-time integration using web hooks is a service that provides tickets for public transport. As soon as the order is validated with the paid status, a QR code is generated, and the customer receives it instantly. This is a real-time integration between the store and the third-party application.",51
Conclusion,"CloudCart web hooks are a powerful and professional way to make a two-way real-time event integration between two or more applications. It provides valuable information in real-time, which can be used for inventory management, order management, or other integrations. More information can be found at help.cloudcart.com.",46
Product Statuses,"Go to the ""Products"" page and select ""Product Statuses"". By default, the platform has ""In Stock"" and ""Out of Stock"" statuses. To enable the subscription feature, you can either add an ""Out of Stock"" status and change its behavior or add a new status. We recommend using the default ""Out of Stock"" status and changing the action from ""Select new"" to ""Show as subscribed for quantity"". Change the name of the status to ""Notify me when available"" or any other desired name.",82
Subscribing to an Out of Stock Product,"Once the product status is set up, go to a product that is currently out of stock. The product page will display a ""Notify me when available"" button, which allows users to subscribe to the product.",36
Creating a Segment,"To collect all subscribers for out of stock products, go to ""Marketing Campaigns"" and select ""Segments"". Create a new segment using the ""Subscribed for product availability"" condition. This condition is simple and effective, but you can add additional conditions if desired.",41
Creating a Campaign,"Go to ""Marketing Campaigns"" and select ""Automated Campaigns"". Create a new campaign with a title and enable the ""Repeat this campaign for customers who got into it for more than once"" option. Select the previously created segment. Choose the appropriate action type and channel, such as Viber or web push notifications, and create the message template. The template can include variables, such as the triggered product, which will be based on the specific actions of your store and users. Add any desired additional steps, such as checking if the link was clicked, and specify the goal of the campaign. Once the campaign is started, it will automatically notify users when their subscribed product is back in stock.",117
Mandatory Things to Know,"This setup is irreversible, so you cannot undo your product catalog settings. The system will start a procedure which will split all variant values and create different products based on the variant value that you're going to split. For example, if you split by color, you will have different products based on each color variant. This option is payable.",59
Steps to Split Variants,"Go to the products main menu and then the variants menu. Select the option that will split all products that contain the variant option you want to split (in this case, color). Turn on the setting and name each product with its variant value. When you save, the system will start a procedure to split all products based on their color.",61
